Country,ISO3,Indicator,Unit,2018,2019,2020,2021,2022
Turkmenistan,TKM,Index of forest extent,Index,100.0,100.0,100.0,100.0,100.0
Turkmenistan,TKM,Share of forest area,Percent,8.78215904496414,8.78215904496414,8.78215904496414,8.78215904496414,8.78215904496414
United Arab Emirates,ARE,Index of forest extent,Index,123.03886213288,123.03886213288,123.03886213288,123.03886213288,123.03886213288
United Arab Emirates,ARE,Share of forest area,Percent,4.46775556181357,4.46775556181357,4.46775556181357,4.46775556181357,4.46775556181357
Uzbekistan,UZB,Index of forest extent,Index,138.232237819727,139.214079672971,140.195921526214,141.177763379457,142.1596052327
Uzbekistan,UZB,Share of forest area,Percent,8.25712061408984,8.31637366503615,8.37322137751049,8.43180461723851,8.49046413042492
Viet Nam,VNM,Index of forest extent,Index,147.006448230541,147.776413459357,148.546378688174,149.316343916991,150.086309145807
Viet Nam,VNM,Share of forest area,Percent,46.2346815387217,46.4768416451573,46.7190017515929,46.9611618580284,47.203321964464
State of Palestine,PSE,Index of forest extent,Index,111.674008810573,111.674008810573,111.674008810573,111.674008810573,111.674008810573
State of Palestine,PSE,Share of forest area,Percent,1.6843853820598,1.6843853820598,1.6843853820598,1.68298755186722,1.68298755186722
Yemen,YEM,Index of forest extent,Index,100.0,100.0,100.0,100.0,100.0
Yemen,YEM,Share of forest area,Percent,1.03983180862549,1.03983180862549,1.03983180862549,1.03983180862549,1.03983180862549
