Country,ISO3,Indicator,Unit,2018,2019,2020,2021,2022
Qatar,QAT,"Climate related disasters frequency, Number of Disasters: Flood",Number of,1.0,,,,
Qatar,QAT,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,1.0,,,,
Saudi Arabia,SAU,"Climate related disasters frequency, Number of Disasters: Flood",Number of,,3.0,1.0,,
Saudi Arabia,SAU,"Climate related disasters frequency, Number of Disasters: Storm",Number of,,,,,
Saudi Arabia,SAU,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,,3.0,1.0,,
Sri Lanka,LKA,"Climate related disasters frequency, Number of Disasters: Drought",Number of,,1.0,,,
Sri Lanka,LKA,"Climate related disasters frequency, Number of Disasters: Flood",Number of,3.0,5.0,2.0,4.0,3.0
Sri Lanka,LKA,"Climate related disasters frequency, Number of Disasters: Landslide",Number of,,,,,
Sri Lanka,LKA,"Climate related disasters frequency, Number of Disasters: Storm",Number of,,,1.0,1.0,2.0
Sri Lanka,LKA,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,3.0,6.0,3.0,5.0,5.0
Syrian Arab Rep.,SYR,"Climate related disasters frequency, Number of Disasters: Drought",Number of,,,,1.0,
Syrian Arab Rep.,SYR,"Climate related disasters frequency, Number of Disasters: Flood",Number of,,1.0,,1.0,
Syrian Arab Rep.,SYR,"Climate related disasters frequency, Number of Disasters: Landslide",Number of,,,,,
Syrian Arab Rep.,SYR,"Climate related disasters frequency, Number of Disasters: Storm",Number of,,,,,1.0
Syrian Arab Rep.,SYR,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,,1.0,1.0,2.0,1.0
Syrian Arab Rep.,SYR,"Climate related disasters frequency, Number of Disasters: Wildfire",Number of,,,1.0,,
Taiwan Province of China,TWN,"Climate related disasters frequency, Number of Disasters: Extreme temperature",Number of,,,,,
Taiwan Province of China,TWN,"Climate related disasters frequency, Number of Disasters: Flood",Number of,,,,,
Taiwan Province of China,TWN,"Climate related disasters frequency, Number of Disasters: Landslide",Number of,,,,,
Taiwan Province of China,TWN,"Climate related disasters frequency, Number of Disasters: Storm",Number of,1.0,1.0,1.0,2.0,1.0
Taiwan Province of China,TWN,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,1.0,1.0,1.0,2.0,1.0
"Tajikistan, Rep. of",TJK,"Climate related disasters frequency, Number of Disasters: Drought",Number of,,,,,
"Tajikistan, Rep. of",TJK,"Climate related disasters frequency, Number of Disasters: Extreme temperature",Number of,,,,,
"Tajikistan, Rep. of",TJK,"Climate related disasters frequency, Number of Disasters: Flood",Number of,1.0,1.0,1.0,1.0,
"Tajikistan, Rep. of",TJK,"Climate related disasters frequency, Number of Disasters: Landslide",Number of,,,,1.0,
"Tajikistan, Rep. of",TJK,"Climate related disasters frequency, Number of Disasters: Storm",Number of,,,,,
"Tajikistan, Rep. of",TJK,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,1.0,1.0,1.0,2.0,
Thailand,THA,"Climate related disasters frequency, Number of Disasters: Drought",Number of,,1.0,,,
Thailand,THA,"Climate related disasters frequency, Number of Disasters: Extreme temperature",Number of,,,,,
